County,2035,2040,2045
ALACHUA,329300,338400,345600
BAKER,31300,32200,32900
BAY,205100,210400,215100
BRADFORD,28600,28900,29200
BREVARD,724600,748300,767700
BROWARD,2125800,2161100,2189300
CALHOUN,13900,13900,13900
CHARLOTTE,240000,251300,261600
CITRUS,182400,187800,192300
CLAY,267900,276900,284200
COLLIER,466000,484100,499300
COLUMBIA,77100,78600,79800
DESOTO,35800,36000,36100
DIXIE,18400,18700,18900
DUVAL,1198100,1235900,1265400
ESCAMBIA,357500,364600,371000
FLAGLER,166700,178100,187900
FRANKLIN,14700,15200,15500
GADSDEN,44700,44700,44800
GILCHRIST,21400,22100,22700
GLADES,13000,13100,13200
GULF,18100,18600,19100
HAMILTON,14100,14200,14300
HARDEE,25800,25800,25900
HENDRY,43400,44000,44500
HERNANDO,233400,241300,247100
HIGHLANDS,110300,112000,113500
HILLSBOROUGH,1795300,1861000,1914900
HOLMES,20200,20200,20300
INDIAN RIVER,193100,199200,204100
JACKSON,50300,50600,50900
JEFFERSON,16300,16600,16800
LAFAYETTE,8600,8700,8800
LAKE,513600,541700,566300
LEE,964400,1006700,1042400
LEON,326100,332700,338300
LEVY,50000,51400,52500
LIBERTY,8200,8200,8300
MADISON,18900,18900,18900
MANATEE,540100,568100,592200
MARION,471100,491700,510200
MARTIN,177400,181300,184700
MIAMI-DADE,2981000,3035500,3083200
MONROE,88100,88600,88900
NASSAU,125700,133500,139900
OKALOOSA,245200,251900,257500
OKEECHOBEE,40300,40500,40600
ORANGE,1755300,1825600,1882400
OSCEOLA,582300,623800,660500
PALM BEACH,1700000,1742500,1774400
PASCO,742100,778700,810200
PINELLAS,1007800,1017600,1025900
POLK,972600,1022000,1064300
PUTNAM,78100,78500,79000
SANTA ROSA,245900,257900,268300
SARASOTA,536100,558300,575700
SEMINOLE,537200,549700,560100
SUMTER,210900,227400,242200
SUWANNEE,48700,49500,50300
TAYLOR,22600,22800,23100
UNION,17400,17800,18100
VOLUSIA,657200,678600,695700
WAKULLA,42100,43900,45500
WALTON,106700,113400,119300
WASHINGTON,27100,27600,27900
FLORIDA (State),25815000,26682000,27409400
